196 [0, 7] 5.854999999999995 51 237777 15595
197 [3, 8] 51.62500000000001 41 237982 15600
198 [5, 8] 66.21999999999998 52 238893 15625
199 [0, 7] -4.435000000000004 70 238966 15627
200 [3, 8] 28.105000000000004 55 239210 15632
201 [2, 8] 58.96500000000001 50 239689 15646
202 [5, 8] 62.720000000000006 43 240243 15662
203 [0, 7] 24.985 51 240644 15674
204 [2, 8] 47.025000000000006 49 240693 15675
205 [5, 8] -36.51999999999996 111 240804 15676
206 [3, 8] 47.690000000000005 49 240934 15682
207 [5, 8] 61.45000000000001 57 241110 15686
208 [5, 8] 58.465 60 241199 15690
209 [4, 8] 17.744999999999994 46 241319 15693
210 [2, 8] 35.22500000000001 57 241376 15694
211 [2, 8] 80.86500000000001 44 241660 15699
212 [4, 8] 42.89500000000001 55 241796 15702
213 [3, 8] 35.019999999999996 54 241850 15703
214 [4, 8] 36.15 56 242063 15714
215 [2, 8] 36.88999999999999 51 242114 15715
216 [4, 8] 37.42999999999999 65 242227 15718
217 [2, 8] 42.3 58 242392 15723
218 [5, 8] 34.01499999999999 54 242571 15730
219 [4, 8] 57.43000000000001 60 242688 15734
220 [5, 8] 49.180000000000014 52 243043 15745
221 [0, 7] 47.295 55 243212 15750
222 [5, 8] 24.695000000000007 54 243403 15756
223 [0, 6] 28.464999999999996 42 244479 15774
224 [0, 7] -19.625000000000004 70 244619 15776
225 [5, 8] -30.394999999999996 95 244760 15778
226 [0, 7] 21.770000000000007 46 244813 15780
227 [4, 8] 42.355000000000004 59 244872 15781
228 [2, 8] 22.174999999999997 63 244980 15786
229 [3, 8] 45.879999999999995 47 245082 15790
230 [5, 8] 39.16499999999999 73 245163 15793
231 [3, 8] 42.355000000000004 59 245222 15794
232 [3, 8] 37.935 51 245333 15798
233 [5, 8] 58.03500000000001 50 245428 15800
234 [4, 8] 33.910000000000004 54 245482 15801
235 [2, 8] 31.174999999999997 56 245538 15802
236 [3, 8] 47.905 49 245644 15806
237 [4, 8] 42.48 37 245722 15810
238 [5, 8] 43.17500000000001 54 245835 15815
239 [5, 8] 25.025 55 245976 15817
240 [4, 8] 51.955000000000005 45 246021 15818
241 [2, 8] 25.099999999999994 55 246285 15826
242 [5, 8] 44.27500000000002 62 246439 15831
243 [2, 8] -14.785 67 246556 15834
244 [0, 7] 27.354999999999997 60 246960 15844
245 [3, 8] 50.78000000000001 45 247249 15853
246 [4, 8] 24.465000000000003 46 247686 15869
247 [4, 8] 56.570000000000014 42 247806 15872
248 [5, 8] 82.98499999999999 46 247919 15877
249 [2, 8] 7.084999999999992 63 248028 15880
250 [5, 8] 65.13 52 248089 15882
251 [2, 8] 61.925000000000004 45 248178 15885
252 [5, 8] 49.77 45 248261 15887
253 [0, 7] 15.93500000000001 49 248310 15888
254 [0, 6] -28.20000000000001 135 248536 15893
255 [3, 8] 60.67 40 248576 15894
256 [5, 8] 46.510000000000005 63 248956 15900
257 [5, 8] 30.525 42 249270 15910
258 [5, 8] 68.105 50 249489 15918
259 [5, 8] 64.20500000000001 56 249621 15921
260 [0, 7] -7.899999999999999 59 249786 15927
261 [0, 7] 51.85000000000001 47 249833 15928
262 [5, 8] 58.03 50 249900 15930
263 [5, 8] -21.245000000000008 60 250047 15934
264 [4, 8] 7.1649999999999965 62 250184 15937
265 [4, 8] 33.06999999999999 53 250884 15965
266 [0, 6] 14.97999999999999 55 250987 15967
267 [2, 8] 55.935 48 251038 15969
268 [0, 4] 26.299999999999994 40 251402 15982
269 [5, 8] 69.10500000000002 51 251542 15986
270 [5, 8] 41.915000000000006 47 251589 15987
271 [5, 8] 59.735 46 251796 15994
272 [5, 8] 69.03 47 251843 15995
273 [3, 8] 46.040000000000006 51 252452 16014
274 [5, 8] 58.76000000000001 46 252676 16019
275 [0, 7] 30.659999999999997 45 252923 16034
276 [5, 8] 48.245000000000005 61 253048 16037
277 [5, 8] 33.035 54 253175 16042
278 [5, 8] 82.115 46 253405 16052
279 [5, 8] 42.690000000000005 44 253612 16058
280 [5, 8] 55.16500000000001 52 253671 16060
281 [5, 8] 58.30500000000001 58 253764 16063
282 [2, 8] 29.33500000000001 58 254028 16070
283 [5, 8] 27.824999999999985 73 254311 16080
284 [5, 8] 46.24 53 254519 16084
285 [5, 8] 62.77500000000001 43 254663 16088
286 [5, 8] 71.30000000000001 60 255003 16100
287 [5, 8] 60.795 43 255082 16102
288 [3, 8] 48.63 42 255124 16103
289 [5, 8] 80.96999999999998 44 255202 16105
290 [5, 8] 49.27500000000001 55 255289 16107
291 [0, 6] 38.675 46 255521 16109
292 [5, 8] 82.83 42 255858 16120
293 [3, 8] 20.540000000000006 65 255923 16121
294 [5, 8] 68.95000000000002 48 256131 16126
295 [0, 7] 20.530000000000015 65 256562 16135
296 [5, 8] 41.67 42 257076 16153
297 [5, 8] 55.260000000000005 53 257189 16156
298 [4, 8] 46.02000000000001 53 257537 16164
299 [5, 8] 64.025 56 257653 16168
300 [5, 8] 62.20500000000001 55 257751 16170
301 [5, 8] -2.549999999999997 65 257879 16174
302 [4, 8] 69.97500000000001 46 258055 16177
303 [0, 6] 53.30500000000002 60 258134 16180
304 [5, 8] 74.175 54 258428 16190
305 [0, 6] 18.790000000000006 48 258616 16194
